"Chidamber-Kemerer metrics,dom., 3 dez. 2023 19:32:17 GMT-03:00"
"Class,CBO,DIT,LCOM,NOC,RFC,WMC"
"$,0,1,0,0,0,0"
"Bytes2Mega,0,1,1,0,5,3"
"ClassWithNoPackage,0,1,0,0,0,0"
"ExtractJdkApis,2,1,2,0,60,9"
"ExtractJdkApis.Cleaner,2,1,4,0,16,16"
"Junit5Progress,0,1,1,0,18,11"
"MavenWrapperDownloader,1,1,1,0,19,8"
"NextRelease,0,1,1,0,8,4"
"Null,0,1,0,0,1,1"
"PropertyReset,0,1,1,0,3,4"
"RailroadTest,1,1,1,0,4,1"
"RealFunctionValidation,4,1,1,0,56,21"
"RealFunctionValidation.ApplicationProperties,3,1,3,0,30,23"
"RealFunctionValidation.MissingRequiredPropertyException,1,5,0,0,2,1"
"StageArtifacts,3,1,1,0,35,6"
"StageArtifacts.NexusApi,4,1,1,0,47,11"
"StageArtifacts.Params,3,1,1,0,16,19"
"StageArtifacts.PomInfo,3,1,1,0,5,1"
"StageArtifacts.XmlElement,2,1,2,0,22,7"
"TestFuseDFS,11,1,1,0,74,30"
"TestFuseDFS.RedirectToStdoutThread,1,2,1,0,7,3"
"com.datastax.driver.core.CassandraTypeParser,2,1,1,0,36,25"
"com.datastax.driver.core.CassandraTypeParser.ParseResult,1,1,0,0,4,2"
"com.datastax.driver.core.CassandraTypeParser.Parser,1,1,1,0,29,38"
"com.datastax.driver.core.StatementWrapperUtils,0,1,1,0,1,1"
"com.datastax.driver.core.TupleTypeBuilder,0,1,1,0,6,2"
"com.datastax.driver.core.UserTypeBuilder,0,1,2,0,7,3"
"com.datastax.driver.core.querybuilder.MapEntryClause,0,1,2,0,9,9"
"com.datastax.driver.core.querybuilder.NonEscapingSetAssignment,0,1,2,0,7,5"
"com.datastax.driver.core.querybuilder.NotEq,0,1,1,0,1,1"
"info.archinnov.achilles.annotations.ASCII,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.ClusteringColumn,n/a,n/a,n/a,n/a,2,n/a"
"info.archinnov.achilles.annotations.Codec,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.CodecRegistry,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.Column,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.CompileTimeConfig,n/a,n/a,n/a,n/a,5,n/a"
"info.archinnov.achilles.annotations.Computed,n/a,n/a,n/a,n/a,4,n/a"
"info.archinnov.achilles.annotations.Consistency,n/a,n/a,n/a,n/a,3,n/a"
"info.archinnov.achilles.annotations.Counter,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.DSE_Search,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.EmptyCollectionIfNull,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.EntityCreator,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.Enumerated,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.Enumerated.Encoding,15,n/a,2,n/a,2,0"
"info.archinnov.achilles.annotations.Frozen,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.FunctionRegistry,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.Immutable,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.Index,n/a,n/a,n/a,n/a,3,n/a"
"info.archinnov.achilles.annotations.JSON,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.MaterializedView,n/a,n/a,n/a,n/a,3,n/a"
"info.archinnov.achilles.annotations.PartitionKey,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.RuntimeCodec,n/a,n/a,n/a,n/a,2,n/a"
"info.archinnov.achilles.annotations.SASI,n/a,n/a,n/a,n/a,9,n/a"
"info.archinnov.achilles.annotations.SASI.Analyzer,11,n/a,3,n/a,4,2"
"info.archinnov.achilles.annotations.SASI.IndexMode,11,n/a,2,n/a,2,0"
"info.archinnov.achilles.annotations.SASI.Normalization,10,n/a,4,n/a,4,6"
"info.archinnov.achilles.annotations.Static,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.Strategy,n/a,n/a,n/a,n/a,2,n/a"
"info.archinnov.achilles.annotations.TTL,n/a,n/a,n/a,n/a,1,n/a"
"info.archinnov.achilles.annotations.Table,n/a,n/a,n/a,n/a,2,n/a"
"info.archinnov.achilles.annotations.TimeUUID,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.Transient,n/a,n/a,n/a,n/a,0,n/a"
"info.archinnov.achilles.annotations.UDT,n/a,n/a,n/a,n/a,2,n/a"
"info.archinnov.achilles.async.DefaultExecutorThreadFactory,1,1,1,0,10,1"
"info.archinnov.achilles.bootstrap.AbstractManagerFactoryBuilder,14,1,3,0,46,38"
